"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"rank.level"	"dummy.id"
"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Abiotrophia"	"Abiotrophia defectiva"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva"	"EZ_1"
"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Abyssicoccus"	"Abyssicoccus albus"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Abyssicoccus;Abyssicoccus albus"	"EZ_2"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Abyssivirga"	"Abyssivirga alkaniphila"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Abyssivirga;Abyssivirga alkaniphila"	"EZ_3"
"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	"Acanthopleuribacter pedis"	"Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;Acanthopleuribacter pedis"	"EZ_4"
"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Acaricomes"	"Acaricomes phytoseiuli"	"Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Acaricomes;Acaricomes phytoseiuli"	"EZ_5"
"Bacteria"	"Cyanobacteria"	"c__Cyanobacteria"	"Synechococcales"	"Acaryochloridaceae"	"Acaryochloris"	"Acaryochloris marina"	"Bacteria;Cyanobacteria;c__Cyanobacteria;Synechococcales;Acaryochloridaceae;Acaryochloris;Acaryochloris marina"	"EZ_6"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetanaerobacterium"	"Acetanaerobacterium elongatum"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium;Acetanaerobacterium elongatum"	"EZ_7"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Acetatifactor"	"Acetatifactor muris"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor;Acetatifactor muris"	"EZ_8"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetivibrio"	"Acetivibrio cellulolyticus"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio cellulolyticus"	"EZ_9"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetivibrio"	"Acetivibrio ethanolgignens"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio ethanolgignens"	"EZ_10"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Acetoanaerobium"	"Acetoanaerobium noterae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Acetoanaerobium;Acetoanaerobium noterae"	"EZ_11"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Acetoanaerobium"	"Acetoanaerobium pronyense"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Acetoanaerobium;Acetoanaerobium pronyense"	"EZ_12"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Acetoanaerobium"	"Acetoanaerobium sticklandii"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Acetoanaerobium;Acetoanaerobium sticklandii"	"EZ_13"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter aceti"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter aceti"	"EZ_14"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter cerevisiae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter cerevisiae"	"EZ_15"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter cibinongensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter cibinongensis"	"EZ_16"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter estunensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter estunensis"	"EZ_17"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter fabarum"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter fabarum"	"EZ_18"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter farinalis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter farinalis"	"EZ_19"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter ghanensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter ghanensis"	"EZ_20"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter indonesiensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter indonesiensis"	"EZ_21"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter lambici"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter lambici"	"EZ_22"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter lovaniensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter lovaniensis"	"EZ_23"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter malorum"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter malorum"	"EZ_24"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter musti"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter musti"	"EZ_25"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter nitrogenifigens"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter nitrogenifigens"	"EZ_26"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter oeni"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter oeni"	"EZ_27"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter okinawensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter okinawensis"	"EZ_28"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter orientalis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter orientalis"	"EZ_29"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter orleanensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter orleanensis"	"EZ_30"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter papayae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter papayae"	"EZ_31"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter peroxydans"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter peroxydans"	"EZ_32"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter persici"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter persici"	"EZ_33"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter pomorum"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pomorum"	"EZ_34"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter senegalensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter senegalensis"	"EZ_35"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter sicerae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter sicerae"	"EZ_36"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter suratthaniensis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter suratthaniensis"	"EZ_37"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter syzygii"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter syzygii"	"EZ_38"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter thailandicus"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter thailandicus"	"EZ_39"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"Acetobacter tropicalis"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter tropicalis"	"EZ_40"
